name,interval,bin,code,lim_inf,lim_sup,mesh,id,cells_state,cells_mun,cells_ageb
Población femenina,49.2%:50.0%,1,POBFEM,0.4916644436011407,0.5000757256760978,state,nextval('covariable_id_seq'),"{03,02,23,26}",,
Población femenina,50.0%:50.5%,2,POBFEM,0.500219727330657,0.5045732493574735,state,nextval('covariable_id_seq'),"{19,05,18,08}",,
Población femenina,50.6%:50.7%,3,POBFEM,0.5061634791272911,0.506936782104237,state,nextval('covariable_id_seq'),"{25,10,06}",,
Población femenina,50.8%:50.9%,4,POBFEM,0.5078013664913401,0.5086906016550491,state,nextval('covariable_id_seq'),"{04,28,31}",,
Población femenina,50.9%:51.1%,5,POBFEM,0.5090583531610772,0.5114992187623564,state,nextval('covariable_id_seq'),"{14,01,27}",,
Población femenina,51.2%:51.2%,6,POBFEM,0.5115743643462206,0.5123361884130697,state,nextval('covariable_id_seq'),"{22,07,32}",,
Población femenina,51.4%:51.4%,7,POBFEM,0.5137041124916069,0.5143365356551887,state,nextval('covariable_id_seq'),"{24,11,16}",,
Población femenina,51.4%:51.8%,8,POBFEM,0.5144131341401794,0.5177086714819022,state,nextval('covariable_id_seq'),"{15,29,17}",,
Población femenina,51.9%:52.0%,9,POBFEM,0.5194760287669717,0.5197846743579194,state,nextval('covariable_id_seq'),"{13,12,30}",,
Población femenina,52.0%:52.2%,10,POBFEM,0.5199784970344561,0.5220783476293686,state,nextval('covariable_id_seq'),"{21,09,20}",,
Población masculina,47.8%:48.0%,1,POBMAS,0.47792165237063144,0.4802153256420805,state,nextval('covariable_id_seq'),"{20,09,21,30}",,
Población masculina,48.0%:48.4%,2,POBMAS,0.4803059295023421,0.48392042454934076,state,nextval('covariable_id_seq'),"{12,13,17,29}",,
Población masculina,48.6%:48.6%,3,POBMAS,0.4855868658598205,0.48589039545420787,state,nextval('covariable_id_seq'),"{15,16,11}",,
Población masculina,48.6%:48.8%,4,POBMAS,0.4862958875083931,0.488100821309752,state,nextval('covariable_id_seq'),"{24,32,07}",,
Población masculina,48.8%:48.9%,5,POBMAS,0.48842563565377944,0.48869218515341184,state,nextval('covariable_id_seq'),"{22,27,01}",,
Población masculina,49.1%:49.2%,6,POBMAS,0.4909416468389228,0.4921401409119449,state,nextval('covariable_id_seq'),"{14,31,28}",,
Población masculina,49.2%:49.4%,7,POBMAS,0.4921986335086599,0.49374730581398524,state,nextval('covariable_id_seq'),"{04,06,10}",,
Población masculina,49.4%:49.6%,8,POBMAS,0.49383652087270885,0.49558867333195195,state,nextval('covariable_id_seq'),"{25,08,18}",,
